Clump_thickness,Unif_Cell_Size,Unif_Cell_Shape,Marginal_Adhesion,Single_Cell_Size,Bare_Nuclei,Bland_Chromatine,Normal_Nucleoli,Mitoses,type
6.31,8.85,7.18,9.06,7.89,9.99,3.65,0.03,0.56,benign
1.94,0.01,0.0,0.06,0.24,0.15,0.09,0.0,1.4,benign
1.81,0.14,4.61,1.43,2.18,0.02,1.64,4.71,1.03,benign
6.39,0.0,0.05,0.01,0.64,1.22,1.3,0.0,0.3,benign
6.44,9.4,5.01,2.74,2.99,9.99,6.09,9.85,0.39,malign
5.21,1.5,3.83,0.05,2.89,4.76,3.87,2.31,1.29,benign
9.62,9.36,9.82,9.21,7.11,9.91,6.74,9.82,3.35,malign
8.68,0.6,2.9,5.63,2.71,0.03,1.46,0.24,2.46,benign
1.9,0.13,1.01,6.37,2.61,9.48,5.82,0.0,1.02,benign
6.69,3.85,0.09,0.15,0.55,0.83,0.39,0.24,0.1,benign
1.18,0.01,0.01,0.0,0.26,0.02,0.37,0.0,1.09,benign
7.15,9.74,7.6,2.26,1.99,0.02,5.55,3.89,0.68,benign
3.75,9.28,2.22,7.83,0.77,0.02,2.18,3.01,0.01,malign
8.04,9.91,6.27,7.8,3.7,0.46,5.86,0.0,0.71,benign
2.84,6.55,1.2,5.07,3.62,1.97,1.12,8.6,1.28,benign
1.38,0.02,0.19,0.09,0.58,0.02,2.18,0.4,0.96,malign
0.12,0.02,0.01,0.0,0.85,4.62,0.19,0.0,0.07,benign
5.41,1.09,2.36,1.88,4.02,5.79,4.24,0.11,0.31,benign
3.74,0.72,0.44,0.01,1.68,0.63,1.04,0.04,1.32,benign
5.18,9.96,3.41,4.21,5.14,9.84,1.48,0.0,0.27,benign
5.8,5.54,1.16,3.38,1.22,6.31,5.89,8.19,0.28,benign
1.6,0.01,0.46,0.78,0.38,0.04,1.2,2.74,0.1,malign
2.89,1.89,4.56,6.28,3.93,0.62,0.29,0.01,1.11,benign
7.25,9.98,7.82,9.97,2.75,9.99,5.37,9.21,0.56,malign
0.13,0.09,0.15,0.02,1.25,0.74,0.11,0.0,0.34,benign
1.58,0.01,0.0,0.01,0.46,6.84,0.58,0.0,0.01,benign
0.08,0.0,0.01,0.0,0.41,0.02,1.43,0.06,0.02,benign
2.49,1.63,2.36,0.0,2.64,7.4,2.66,0.84,3.71,benign
2.91,0.01,0.38,1.35,1.6,1.1,0.11,0.0,3.78,malign
5.96,0.64,0.91,5.06,2.11,6.53,3.42,0.04,0.81,benign
5.71,0.04,1.28,5.91,1.55,0.02,0.43,0.33,0.63,benign
7.93,8.47,8.56,9.67,2.84,9.99,5.08,9.29,1.74,malign
6.1,0.04,1.54,0.0,1.91,1.12,4.46,0.36,2.44,benign
4.94,3.08,0.56,0.24,1.49,2.55,5.25,4.99,0.95,benign
7.5,2.37,5.56,1.18,3.86,3.31,7.72,4.78,0.12,benign
2.93,0.03,0.02,0.53,0.5,0.02,0.2,0.08,0.28,benign
8.95,2.58,2.14,9.23,2.06,7.85,2.23,1.6,3.27,benign
3.35,0.84,1.47,0.52,0.47,2.52,5.29,4.71,0.13,malign
9.43,6.33,5.45,1.72,2.43,9.99,4.33,0.36,0.61,benign
2.78,4.16,2.7,3.39,0.33,0.02,2.33,8.26,0.22,benign
4.54,7.57,7.26,9.52,3.64,9.99,4.48,4.02,1.47,malign
0.55,0.0,0.57,0.01,0.78,0.02,0.66,0.08,1.19,benign
8.82,9.47,7.4,8.51,6.87,9.99,7.89,6.61,4.87,malign
3.23,0.33,2.17,4.87,4.77,5.65,4.17,3.77,4.2,malign
2.55,5.97,4.07,5.85,7.56,5.26,4.14,4.62,1.31,malign
0.84,0.92,1.66,0.04,3.41,0.02,0.28,0.03,0.15,benign
2.23,1.63,2.04,0.01,3.93,0.33,0.89,4.17,2.22,benign
3.2,0.01,4.96,1.53,0.75,5.36,0.61,0.15,0.99,benign
2.94,2.52,1.59,0.0,2.24,0.13,0.67,0.22,1.14,benign
3.12,8.82,6.72,1.72,2.26,2.98,0.62,1.38,1.11,benign
1.56,0.32,3.05,0.45,0.44,0.03,1.53,0.02,0.39,benign
6.46,8.06,8.8,6.79,8.45,9.99,7.57,9.85,0.45,malign
8.5,7.91,7.49,9.91,4.46,8.88,5.63,8.49,2.13,malign
2.1,1.67,1.09,0.19,1.17,0.02,0.83,0.1,0.67,benign
7.11,0.97,5.38,9.89,1.41,9.93,1.9,0.91,1.1,malign
1.1,0.0,0.0,0.22,0.5,2.8,0.76,0.0,0.06,benign
9.74,6.84,9.26,9.84,5.84,9.99,5.11,9.23,6.61,malign
1.88,0.15,1.54,0.08,3.6,1.15,1.32,0.16,0.02,malign
2.62,8.01,7.66,3.07,2.37,9.99,2.47,3.88,0.3,malign
0.12,0.02,0.0,0.0,0.19,0.02,0.46,0.0,0.04,benign
3.24,0.02,0.02,0.0,0.33,0.14,0.1,0.0,0.47,benign
0.79,0.0,0.05,0.12,0.34,1.44,0.36,0.16,2.16,benign
1.8,6.54,8.49,1.98,2.95,9.99,0.95,0.14,1.53,malign
0.34,0.16,0.4,0.0,0.92,0.03,0.88,0.0,0.22,benign
4.69,0.37,1.61,0.27,3.7,0.53,5.07,3.69,0.14,malign
1.63,0.0,0.45,3.44,0.51,0.02,0.79,1.71,0.13,benign
3.27,0.2,0.23,0.0,2.14,0.02,0.67,3.08,0.68,benign
5.65,6.38,7.17,8.92,4.32,9.53,3.76,2.04,1.09,malign
0.32,0.02,0.05,0.28,1.02,0.02,0.04,0.0,0.53,benign
7.89,0.64,7.24,7.78,1.6,8.93,4.17,0.01,0.14,malign
1.65,4.28,0.86,0.94,0.79,9.99,0.23,0.16,0.79,malign
0.22,0.0,0.0,0.06,1.35,0.02,0.43,0.02,0.18,benign
1.76,8.84,5.53,4.48,6.27,9.71,4.44,9.92,4.23,benign
0.76,0.0,0.07,0.04,0.6,0.38,0.11,0.0,1.5,benign
9.25,2.65,6.34,9.46,0.99,9.77,0.21,0.0,0.12,malign
2.54,6.74,3.09,0.87,3.02,0.06,4.01,4.33,0.28,benign
7.71,3.67,6.06,4.7,1.93,6.36,3.42,0.85,0.46,malign
0.05,0.55,1.82,1.33,1.31,0.19,0.47,0.29,0.64,benign
1.58,0.01,0.14,0.11,0.72,8.28,1.1,0.02,0.03,benign
8.05,7.81,7.0,0.94,5.16,8.95,5.28,9.84,1.13,malign
3.22,1.45,3.17,8.8,2.5,8.55,1.43,1.28,1.25,benign
1.32,1.94,5.34,1.56,1.8,7.26,3.35,1.56,0.35,benign
8.85,8.77,4.23,4.16,8.44,3.64,5.76,8.2,1.94,malign
4.8,0.55,5.05,1.66,2.36,0.05,4.89,0.17,2.14,malign
7.44,2.08,3.25,1.34,2.25,0.13,0.54,0.0,1.68,benign
4.21,2.63,3.64,5.34,2.11,7.09,3.09,0.54,0.69,malign
5.98,0.0,0.52,0.19,1.69,0.02,1.27,3.2,1.16,benign
1.59,0.0,0.8,0.0,0.88,4.42,0.19,0.0,2.11,malign
0.42,0.0,0.0,0.07,0.08,0.56,0.05,0.0,0.03,benign
0.91,0.0,0.01,0.0,3.21,0.02,0.61,5.73,0.82,benign
3.66,0.19,1.12,2.43,1.2,3.11,0.22,0.0,1.2,benign
6.7,1.64,0.05,4.99,1.02,9.99,1.42,0.01,2.12,benign
3.16,0.4,1.94,0.28,2.11,0.02,0.19,0.04,1.67,benign
0.42,1.68,0.11,0.0,0.38,0.04,1.54,0.0,0.15,benign
8.14,9.69,7.4,1.86,8.75,9.99,7.22,9.14,0.65,benign
1.72,0.89,3.44,0.76,3.03,9.96,5.04,1.69,0.66,benign
0.14,1.48,1.44,2.29,3.96,7.53,2.25,0.24,3.64,benign
7.26,2.44,5.05,0.36,2.49,0.02,2.23,5.03,4.24,benign
1.45,0.84,3.64,4.72,2.8,9.99,1.37,9.96,0.87,malign
5.15,4.46,5.01,0.0,2.4,2.69,0.15,0.0,0.11,benign
0.91,6.58,0.33,1.81,1.3,0.02,1.34,0.02,0.51,benign
0.05,0.0,0.0,0.11,0.99,0.03,2.69,0.0,0.04,benign
0.98,4.54,2.66,7.73,4.26,9.92,3.99,0.0,0.48,benign
4.01,4.66,8.6,2.13,5.12,9.2,3.1,0.59,1.26,malign
0.61,0.72,2.02,0.75,3.03,0.13,3.99,1.19,2.57,malign
3.8,9.13,9.32,7.07,2.97,9.99,4.49,9.54,2.51,malign
0.61,0.0,0.46,0.0,0.55,0.16,0.16,0.0,0.09,benign
3.61,0.12,0.02,0.01,0.7,0.99,2.73,0.0,0.81,benign
0.06,0.01,1.2,0.26,2.76,0.02,0.57,0.01,0.1,benign
0.96,1.9,0.94,0.0,0.51,0.02,1.74,0.04,0.01,benign
1.2,0.0,0.0,0.02,0.93,0.05,0.11,0.0,0.04,malign
5.46,0.19,1.58,7.89,1.74,7.67,1.4,0.3,2.69,malign
0.61,8.61,6.75,2.72,1.59,9.47,0.9,4.1,1.33,benign
5.26,7.2,4.85,1.36,2.05,6.16,4.92,0.59,3.12,malign
5.0,0.72,4.27,1.35,1.29,1.0,1.1,0.0,0.19,benign
6.8,1.3,1.27,1.13,1.62,0.03,3.96,0.0,0.37,benign
6.9,0.0,0.25,0.02,0.47,0.67,0.31,0.0,4.51,benign
9.83,9.97,9.8,9.98,7.69,9.99,7.49,9.92,1.99,malign
1.05,0.0,0.09,9.02,0.76,9.54,0.26,0.34,0.82,benign
8.28,0.15,1.02,0.22,2.78,9.99,1.89,0.06,1.82,malign
3.34,0.01,1.23,0.07,1.02,0.23,2.37,0.0,0.16,benign
0.46,0.16,0.16,0.0,0.71,0.03,0.68,0.15,0.27,benign
3.54,0.23,4.82,4.4,2.87,1.92,5.12,0.02,0.03,benign
1.43,9.27,6.09,0.68,3.75,0.17,4.42,6.86,1.81,malign
0.04,0.0,0.0,0.04,0.7,0.14,1.54,0.0,0.35,benign
9.77,2.51,1.35,3.21,1.45,0.82,2.06,0.44,0.14,malign
1.49,0.65,0.76,0.02,1.91,0.23,1.71,2.07,0.72,benign
5.79,2.5,9.39,7.08,4.61,9.88,4.45,1.22,3.69,malign
0.59,0.0,0.14,0.0,0.87,0.03,0.34,0.0,0.28,benign
0.5,6.49,7.19,8.4,1.56,9.73,0.25,0.11,0.94,benign
8.92,0.22,3.77,8.97,2.53,9.99,0.81,0.31,0.1,benign
4.77,0.19,5.52,1.31,2.13,6.81,1.15,0.31,0.45,benign
4.53,2.98,6.57,4.56,3.48,9.98,4.67,0.22,0.97,malign
0.01,1.77,0.68,3.29,0.79,0.71,1.63,0.01,0.11,benign
3.66,0.25,4.6,0.73,2.9,0.02,3.1,6.65,0.03,benign
8.46,1.3,4.04,1.63,0.72,9.29,1.67,0.06,0.93,benign
1.33,3.62,5.33,3.54,3.05,9.99,3.13,3.09,1.72,malign
2.0,0.0,0.58,0.47,0.8,0.02,0.93,0.0,0.29,benign
7.99,0.03,1.63,0.0,0.88,0.02,0.41,3.76,0.69,benign
3.93,7.28,3.06,0.0,3.22,1.61,2.77,0.09,2.04,benign
0.86,0.4,2.9,1.22,0.78,4.39,0.5,0.0,0.19,benign
3.72,2.22,3.02,0.01,1.16,0.02,1.37,1.7,0.2,benign
5.02,8.7,0.37,0.14,1.76,0.83,2.75,1.42,0.1,benign
7.74,9.87,8.12,5.63,8.74,9.99,4.05,5.0,3.5,malign
6.96,0.45,0.69,0.24,0.68,0.39,0.77,0.0,0.39,benign
1.03,7.5,1.3,0.16,1.25,0.02,1.4,9.92,0.58,benign
3.02,0.05,1.98,7.81,2.18,1.6,0.96,0.0,0.21,benign
5.1,9.58,6.24,1.02,4.66,9.99,5.5,0.01,0.43,malign
3.8,0.64,1.1,0.15,2.07,0.02,5.94,2.6,0.37,malign
3.36,0.33,0.58,6.94,0.75,9.98,2.29,0.16,0.04,malign
3.25,0.0,0.12,0.27,0.98,0.02,0.41,0.37,0.98,benign
9.07,9.97,9.22,6.21,4.82,9.87,8.03,8.82,0.73,malign
6.47,5.8,8.19,8.82,6.8,9.99,8.13,7.02,1.43,benign
0.1,0.0,0.1,0.0,0.5,0.99,0.38,0.54,0.84,malign
3.07,0.18,0.02,0.01,1.01,0.02,1.22,0.0,0.14,benign
1.4,7.87,6.9,0.7,1.86,9.88,2.44,4.12,1.09,benign
6.78,2.34,3.28,9.0,4.21,4.85,3.33,7.22,3.3,benign
5.02,9.74,9.73,6.75,7.37,9.99,5.32,0.02,0.53,malign
1.03,2.46,0.62,1.43,3.21,0.08,1.4,0.04,0.71,malign
0.99,0.29,0.45,1.05,3.15,0.13,2.12,0.29,3.2,malign
5.09,1.01,0.06,0.0,0.46,0.02,0.16,0.0,1.4,benign
9.88,9.94,9.67,9.98,4.92,9.99,8.6,9.48,1.75,malign
7.42,9.38,9.37,9.76,4.13,9.99,3.18,9.16,0.71,malign
2.28,4.92,4.42,0.55,5.85,9.99,3.84,0.03,1.29,malign
4.66,0.0,0.28,0.77,0.37,9.99,0.38,0.02,0.26,benign
4.22,8.85,8.38,5.88,4.13,9.98,4.79,5.08,1.4,malign
2.35,5.19,5.74,0.38,3.63,0.02,4.47,1.28,1.58,malign
3.01,1.45,4.02,0.49,1.85,9.99,2.98,0.25,0.67,benign
0.72,0.21,1.44,0.03,2.53,9.85,1.72,0.05,0.02,malign
3.91,4.58,1.63,0.14,1.26,1.16,3.02,0.21,0.69,benign
2.27,0.0,0.09,0.29,3.15,0.15,0.64,7.03,2.61,benign
9.55,5.43,4.51,1.94,3.16,9.87,5.54,0.0,0.22,malign
9.94,9.88,7.78,5.02,5.23,9.84,3.37,5.46,1.59,malign
9.76,5.26,7.29,9.98,3.1,9.99,5.84,6.1,2.94,malign
5.35,0.97,0.64,3.54,0.98,0.03,2.26,0.0,1.72,benign
4.0,5.63,2.97,1.09,3.03,0.35,1.59,0.17,0.05,benign
4.64,8.48,1.63,5.14,2.17,9.88,2.9,0.48,1.97,benign
4.45,9.84,7.95,8.58,9.55,9.99,9.18,9.69,0.5,malign
0.01,0.0,0.02,0.0,0.36,0.04,0.41,0.0,0.22,benign
7.87,7.18,3.14,1.13,0.97,8.33,6.92,4.03,1.42,malign
0.3,0.06,0.01,1.69,1.96,0.05,0.73,8.88,0.37,benign
7.46,8.58,3.11,4.07,1.16,9.54,1.0,0.51,0.84,benign
3.24,0.98,2.85,0.14,3.43,7.72,3.33,0.24,1.65,benign
8.14,2.94,1.87,0.45,1.01,0.02,5.99,0.06,0.14,benign
5.28,8.12,8.41,9.69,3.87,3.4,9.42,9.79,0.83,malign
6.66,7.02,6.66,9.47,2.56,9.99,6.42,0.85,0.73,malign
8.19,7.56,5.01,5.7,2.22,6.06,2.52,0.0,0.14,malign
4.15,1.82,0.78,1.16,1.35,4.94,0.19,0.0,0.48,benign
5.27,2.85,1.79,2.39,1.28,7.13,1.13,0.78,0.89,malign
1.72,0.13,1.77,0.43,2.12,0.46,0.9,8.36,0.04,benign
0.28,0.17,0.44,0.11,2.64,0.14,0.71,0.27,1.98,benign
7.7,9.14,9.71,3.48,4.19,9.02,9.97,9.96,3.53,malign
9.86,1.93,6.69,9.4,2.24,9.98,3.68,5.08,1.06,malign
9.41,7.61,5.83,1.19,4.03,8.68,2.99,5.48,1.95,malign
0.41,0.01,0.0,0.12,0.43,0.02,0.24,3.34,0.02,benign
0.68,8.06,4.0,0.11,3.67,8.88,3.17,7.72,1.71,benign
0.09,0.01,1.56,2.32,0.8,9.72,2.99,0.01,0.04,benign
4.89,0.6,3.9,2.17,1.61,0.1,2.24,0.03,0.29,malign
4.26,8.0,3.43,0.36,3.05,0.12,0.41,0.0,0.79,benign
1.24,0.26,0.45,0.0,0.42,0.55,3.23,0.0,0.2,benign
3.65,0.79,5.73,0.16,4.21,1.24,0.71,0.27,0.22,benign
2.21,0.79,0.63,1.41,1.82,3.56,4.31,0.01,0.09,benign
2.67,7.65,4.53,7.33,4.46,5.38,1.58,0.46,1.18,benign
7.23,1.1,5.15,0.01,4.98,9.85,2.82,9.03,0.77,malign
1.63,1.22,3.31,1.24,1.69,9.53,2.07,0.05,0.62,benign
5.63,2.71,5.06,0.02,3.27,9.18,1.32,2.52,1.05,malign
7.75,5.35,3.34,2.08,1.59,9.99,2.8,0.95,1.64,malign
1.07,0.01,0.65,0.07,1.15,1.36,2.7,0.08,0.14,benign
3.83,0.0,0.21,0.02,1.16,4.15,5.52,0.06,0.27,benign
7.37,9.65,7.76,0.01,1.38,5.28,3.91,2.65,1.23,benign
1.13,1.69,0.01,0.03,1.71,0.02,0.44,0.0,0.27,benign
4.29,9.32,7.35,5.76,2.11,6.3,6.22,0.0,0.36,malign
1.17,0.06,3.23,8.72,1.65,9.99,1.63,6.07,1.35,benign
1.47,0.16,2.64,0.0,3.05,0.02,1.95,0.0,0.97,malign
0.28,0.0,0.17,0.56,1.83,0.04,0.1,0.0,2.29,benign
1.1,6.14,0.59,0.06,0.99,3.27,3.21,5.58,0.47,benign
1.1,3.55,0.13,0.23,1.66,0.25,4.28,2.21,0.11,benign
2.51,8.92,2.25,0.61,2.13,2.18,3.03,0.0,0.8,benign
1.26,0.24,2.88,0.5,2.23,9.13,1.99,0.06,0.38,benign
0.6,2.42,0.17,0.48,1.45,0.03,1.2,0.83,0.09,benign
3.5,9.21,4.22,5.42,4.44,9.99,0.78,5.23,1.97,benign
6.5,6.63,5.84,2.13,3.31,2.0,1.2,0.28,0.63,malign
4.87,9.72,8.07,1.29,3.8,5.39,2.08,8.45,3.69,benign
0.58,0.04,0.0,0.0,0.94,0.02,2.02,4.65,0.96,benign
3.48,0.04,0.02,0.07,0.94,2.99,0.7,0.0,0.11,malign
5.77,6.9,7.7,1.11,3.84,9.99,4.2,9.96,3.01,benign
0.24,0.44,0.73,1.46,1.68,9.06,1.86,0.0,0.4,benign
5.0,8.59,2.46,0.45,4.32,1.28,1.26,5.22,2.65,benign
1.68,2.81,1.76,0.94,1.78,3.06,0.33,1.17,2.53,benign
9.32,9.9,9.58,6.81,4.22,9.95,6.41,9.96,5.55,malign
3.97,4.11,0.3,0.27,1.44,9.99,3.3,0.0,1.06,benign
0.75,0.07,0.04,0.0,3.05,9.97,2.23,8.95,1.3,malign
9.61,9.75,8.15,9.77,6.57,9.71,8.54,8.59,0.13,benign
6.69,0.2,1.38,2.13,1.84,2.75,4.96,8.95,0.06,malign
6.54,0.04,1.17,1.87,1.06,1.13,6.01,1.01,0.84,malign
2.24,0.46,0.41,5.8,0.77,0.14,0.99,0.0,0.45,benign
0.89,9.82,2.64,0.39,4.33,0.02,4.66,1.23,0.56,benign
9.85,2.67,6.36,9.46,5.43,9.98,6.96,7.06,2.37,malign
1.71,0.1,2.1,0.0,1.67,0.02,0.46,0.0,0.07,benign
2.82,0.26,2.94,0.1,1.85,9.67,2.86,0.11,0.04,malign
8.73,9.82,8.82,9.96,3.58,8.93,5.45,0.38,6.39,malign
8.5,4.18,8.48,5.08,5.35,9.9,4.1,6.22,3.24,malign
3.95,0.72,1.94,0.18,1.61,0.44,0.38,0.0,1.52,benign
9.9,9.98,9.95,9.87,9.96,9.99,9.97,9.96,5.98,malign
5.46,1.69,7.18,0.49,2.87,9.95,3.46,0.02,0.04,benign
3.87,1.26,2.43,0.03,2.07,9.57,3.32,0.01,1.36,malign
1.95,0.07,1.48,0.0,1.56,0.03,1.16,0.0,1.67,benign
3.71,9.87,9.62,9.92,9.96,9.99,5.08,9.96,1.78,malign
9.42,5.92,5.83,1.47,3.49,2.68,2.67,6.07,3.77,malign
0.02,0.0,0.0,0.13,1.33,0.25,0.81,0.0,0.01,benign
2.82,2.2,3.61,0.21,2.72,0.16,1.81,9.87,1.98,malign
7.6,9.98,9.56,9.92,5.16,9.99,5.8,2.69,1.84,malign
7.48,9.82,7.84,7.75,5.9,9.94,4.06,1.51,0.11,malign
5.52,9.94,9.57,9.98,9.96,9.99,4.35,9.87,1.12,malign
5.35,3.45,4.11,0.09,1.49,0.59,1.56,3.32,0.12,benign
4.94,3.57,5.18,6.67,4.5,4.77,1.37,0.0,0.71,malign
1.89,8.81,6.38,1.58,9.96,9.91,5.24,8.93,0.76,malign
0.35,0.1,0.13,0.68,1.32,0.02,0.33,1.25,0.09,benign
9.91,9.95,6.65,9.97,4.28,9.99,6.19,9.96,2.5,malign
0.3,0.2,0.96,2.31,1.85,0.02,0.39,1.81,0.63,malign
2.42,0.75,1.07,8.94,1.81,9.98,2.43,5.03,0.45,benign
1.11,0.0,0.05,0.25,0.69,0.02,0.51,0.0,0.67,benign
0.64,0.02,1.08,5.55,0.73,0.02,0.85,9.61,0.05,benign
5.69,9.19,1.36,8.77,2.94,0.63,3.51,0.15,0.35,malign
2.65,0.04,0.86,1.61,1.85,2.04,1.49,0.5,0.98,benign
9.68,9.83,9.54,0.15,7.39,8.37,4.73,0.87,0.51,malign
1.78,6.51,6.95,8.12,5.16,9.99,7.33,3.05,2.35,benign
0.63,0.0,0.02,0.12,0.29,0.02,0.25,0.03,1.86,benign
1.29,0.86,2.69,9.6,3.25,9.78,3.6,2.19,2.43,malign
0.44,2.14,0.55,0.09,1.13,9.95,3.96,0.18,2.5,malign
5.22,7.95,3.0,7.56,3.86,9.91,4.46,3.7,2.01,malign
1.14,0.32,2.84,1.39,4.3,0.02,4.29,9.22,0.38,malign
4.3,0.24,2.47,0.26,2.46,0.02,0.85,2.15,0.05,malign
1.77,0.7,1.85,2.49,2.07,7.84,1.87,0.82,0.13,benign
5.5,8.98,4.16,3.63,4.01,0.02,1.91,0.0,0.05,malign
0.07,0.07,0.1,0.0,0.58,0.02,0.22,0.01,0.03,benign
3.87,1.18,1.64,0.0,2.94,2.26,1.5,3.93,0.56,benign
5.87,7.35,3.03,2.46,1.94,9.94,6.3,0.87,0.66,benign
7.76,9.38,9.48,6.37,4.25,9.99,7.32,3.42,1.6,malign
0.05,0.81,0.0,0.13,0.17,0.02,0.09,0.02,0.3,benign
4.55,9.08,2.83,4.81,3.87,1.93,3.26,2.01,0.11,benign
3.44,1.07,5.75,9.97,5.46,9.99,2.65,5.16,0.36,malign
5.23,2.6,9.42,7.7,3.62,9.98,4.45,3.13,2.19,malign
0.98,2.07,4.6,0.38,4.92,9.78,5.3,9.92,0.31,malign
7.79,9.98,9.96,9.98,8.91,9.8,5.66,9.88,3.36,malign
7.93,7.53,8.01,9.49,3.13,9.99,2.66,0.25,1.06,malign
3.44,5.35,7.0,5.65,3.24,0.57,4.55,3.15,0.2,benign
2.16,2.26,7.15,1.55,3.33,9.98,3.03,0.79,0.41,benign
8.45,7.18,4.9,1.81,5.32,9.99,3.36,6.49,0.47,benign
9.16,4.51,7.85,2.55,3.5,9.94,7.59,1.97,0.52,malign
3.84,9.77,9.09,9.92,4.83,9.99,8.8,2.13,1.65,malign
3.74,2.25,1.64,3.46,1.97,9.97,4.13,0.0,0.21,malign
3.76,0.0,0.0,0.0,0.38,0.02,0.12,0.05,0.09,benign
3.24,0.03,0.47,3.26,5.89,9.99,4.09,5.07,1.45,benign
6.43,8.65,9.51,7.35,7.34,9.98,6.09,0.74,0.49,malign
0.36,0.04,0.11,0.0,1.53,0.03,1.96,0.11,0.02,benign
8.13,6.87,3.52,8.93,4.04,9.99,0.97,0.0,2.63,malign
6.61,0.25,7.67,1.45,3.72,6.89,2.36,0.83,3.36,benign
2.6,8.77,6.15,0.67,7.02,1.4,5.7,8.23,0.29,benign
6.93,3.49,6.1,7.65,2.8,9.69,2.91,8.31,1.39,malign
0.94,0.04,0.19,0.93,0.69,2.62,0.47,0.0,1.02,malign
3.9,9.96,9.57,9.95,7.44,9.99,8.97,9.95,2.89,malign
7.45,3.35,4.32,8.71,2.45,8.62,1.68,0.0,0.63,malign
2.71,9.92,9.64,9.34,4.7,9.99,6.94,6.73,0.48,benign
